"","respid","sample","int_date","fcall","attempt","refusal","lang","cregion","state","density","usr","scregion","sstate","sdensity","susr","llitext0","llitext","qintro2","phase","qs1","qa1","q1c1","qc1a","qb2","qb3","qb4","qb5","qa6","qa8","qa9a","qa9b","qa9c","qa9d","qa9e","qa9f","qa9g","q11a","q11b","q11c_b","q11e_b","q11h_b","q11i_b","q11j_b","q11at","q11bt","qb12"
"20",26,"Landline",140123,140123,1,"No","English","South","South Carolina","2","S  ","South","South Carolina","2","S  ",NA,"Youngest Female","Youngest Female",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"Suburban area","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Important","Important","Important","Not too important","Important","Important","Not too important","Very unfavorable","Very favorable",NA,NA,NA,NA,NA,NA,NA,NA
"21",28,"Landline",140123,140123,2,"No","English","Northeast","Massachusetts","4","S  ","Northeast","Massachusetts","4","S  ",NA,"Youngest Female","Youngest Female",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"Small town","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Important","Important","Important","Not too important","Not too important","Important","Important","Mostly unfavorable","Mostly favorable",NA,NA,NA,NA,NA,NA,NA,NA
"22",29,"Landline",140123,140123,2,"No","English","Northeast","New York","2","S  ","Northeast","New York","2","S  ",NA,"Youngest Male","Youngest Male",1,NA,"Very happy",NA,NA,NA,NA,NA,NA,"City","A community where houses are larger/farther apart, but schools/stores are several miles away","Not too important","Important","Important","Not too important","Not too important","Not too important","Important","Mostly unfavorable","Mostly favorable",NA,NA,NA,NA,NA,NA,NA,NA
"23",31,"Landline",140129,140123,4,"No","English","South","Texas","Lowest","S  ","South","Texas","4","S  ",NA,"Youngest Male","Youngest Male",1,NA,"Not too happy",NA,NA,NA,NA,NA,NA,"Suburban area","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Important","Not too important","Not too important","Not too important","Not too important","Not too important","Important","Mostly unfavorable","Very unfavorable",NA,NA,NA,NA,NA,NA,NA,NA
"24",32,"Landline",140123,140123,1,"No","English","West","California","Lowest","U  ","Midwest","Minnesota","Highest","U  ",NA,"Youngest Male","Youngest Male",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"City","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Important","Important","Important","Not too important","Not too important","Important","Important","Mostly unfavorable","Mostly favorable",NA,NA,NA,NA,NA,NA,NA,NA
"25",33,"Landline",140125,140123,3,"No","English","Midwest","Nebraska","3","U  ","Midwest","Nebraska","4","U  ",NA,"Youngest Male","Youngest Male",1,NA,"Not too happy",NA,NA,NA,NA,NA,NA,"City","A community where houses are larger/farther apart, but schools/stores are several miles away","Not too important","Not too important","Important","Not too important","Important","Not too important","Important","(VOL) Refused","(VOL) Refused",NA,NA,NA,NA,NA,NA,NA,NA
"26",34,"Landline",140123,140123,1,"No","English","South","Texas","Highest","U  ","South","Texas","Highest","U  ",NA,"Youngest Male","Youngest Male",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"(VOL) Don't know/Refused","A community where houses are larger/farther apart, but schools/stores are several miles away","Important","Not too important","Important","Important","Not too important","Not too important","Important","Very unfavorable","Very favorable",NA,NA,NA,NA,NA,NA,NA,NA
"27",35,"Landline",140123,140123,2,"No","English","Northeast","New Jersey","Highest","S  ","Northeast","New Jersey","Highest","S  ",NA,"Youngest Male","Youngest Male",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"Suburban area","A community where houses are larger/farther apart, but schools/stores are several miles away","Not too important","Important","Important","Not too important","Not too important","Not too important","Important","Mostly favorable","Mostly unfavorable",NA,NA,NA,NA,NA,NA,NA,NA
"28",36,"Landline",140123,140123,2,"No","English","South","Tennessee","3","S  ","South","Tennessee","3","S  ",NA,"Youngest Male","Youngest Male",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"Small town","A community where houses are larger/farther apart, but schools/stores are several miles away","Not too important","Important","Not too important","Important","Not too important","Important","Important","Mostly unfavorable","Mostly favorable",NA,NA,NA,NA,NA,NA,NA,NA
"29",37,"Landline",140123,140123,1,"No","English","Midwest","Illinois","Highest","U  ","Midwest","Illinois","Highest","U  ",NA,"Youngest Female","Youngest Female",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"Rural area","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Important","Not too important","Important","Important","Important","Important","Not too important","Mostly unfavorable","Mostly favorable",NA,NA,NA,NA,NA,NA,NA,NA
"30",38,"Landline",140123,140123,1,"No","English","South","Texas","Highest","U  ","South","Texas","Highest","U  ",NA,"Youngest Male","Youngest Male",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"City","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Important","Important","Not too important","Not too important","Important","Not too important","Not too important","Very unfavorable","Mostly unfavorable",NA,NA,NA,NA,NA,NA,NA,NA
"31",40,"Landline",140123,140123,1,"No","English","Midwest","Michigan","Lowest","R  ","Midwest","Michigan","Lowest","R  ",NA,"Youngest Male","Youngest Male",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"Suburban area","A community where houses are larger/farther apart, but schools/stores are several miles away","Important","Not too important","Not too important","Not too important","Not too important","Important","Important","Mostly favorable","Mostly unfavorable",NA,NA,NA,NA,NA,NA,NA,NA
"32",41,"Landline",140123,140123,1,"No","English","Midwest","Iowa","2","U  ","Midwest","Iowa","2","U  ",NA,"Youngest Female","Youngest Female",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"Rural area","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Important","Important","Not too important","Important","Not too important","Important","Important","Very unfavorable","Mostly favorable",NA,NA,NA,NA,NA,NA,NA,NA
"33",42,"Landline",140123,140123,1,"No","English","South","Texas","Lowest","R  ","South","Texas","Lowest","R  ",NA,"Youngest Male","Youngest Male",1,NA,"Very happy",NA,NA,NA,NA,NA,NA,"Rural area","A community where houses are larger/farther apart, but schools/stores are several miles away","Not too important","Important","Important","Not too important","Important","Important","Not too important","Very unfavorable","Very favorable",NA,NA,NA,NA,NA,NA,NA,NA
"34",43,"Landline",140123,140123,1,"No","English","South","Alabama","2","S  ","South","Alabama","2","S  ",NA,"Youngest Male","Youngest Male",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"Rural area","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Not too important","Important","Important","Not too important","Not too important","Not too important","Important","Very unfavorable","Mostly unfavorable",NA,NA,NA,NA,NA,NA,NA,NA
"35",44,"Landline",140123,140123,1,"No","English","Midwest","Wisconsin","Lowest","U  ","Midwest","Minnesota","Highest","U  ",NA,"Youngest Male","Youngest Male",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"City","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Not too important","Important","Important","Not too important","Important","Important","Important","Mostly unfavorable","Mostly unfavorable",NA,NA,NA,NA,NA,NA,NA,NA
"36",45,"Landline",140123,140123,1,"No","English","South","Alabama","3","S  ","South","Alabama","3","S  ",NA,"Youngest Male","Youngest Male",1,NA,"Very happy",NA,NA,NA,NA,NA,NA,"Small town","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Not too important","Important","Not too important","Not too important","Important","Not too important","Important","Mostly favorable","Mostly unfavorable",NA,NA,NA,NA,NA,NA,NA,NA
"37",47,"Landline",140123,140123,1,"No","English","South","Kentucky","Lowest","R  ","South","Kentucky","Lowest","R  ",NA,"Youngest Male","Youngest Male",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"Small town","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Not too important","Important","Not too important","Important","Not too important","Not too important","Important","Very unfavorable","Mostly favorable",NA,NA,NA,NA,NA,NA,NA,NA
"38",48,"Landline",140123,140123,1,"No","English","Midwest","Minnesota","Highest","U  ","Midwest","Minnesota","Highest","U  ",NA,"Youngest Female","Youngest Female",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"City","(VOL) Don't know/Refused","Not too important","Not too important","Important","Important","Important","Not too important","Important","Mostly unfavorable","Mostly favorable",NA,NA,NA,NA,NA,NA,NA,NA
"39",49,"Landline",140123,140123,1,"No","English","Midwest","Missouri","2","S  ","Midwest","Missouri","2","S  ",NA,"Youngest Female","Youngest Female",1,NA,"Very happy",NA,NA,NA,NA,NA,NA,"Suburban area","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Not too important","Important","Important","Important","Important","Important","Important","Mostly unfavorable","Mostly favorable",NA,NA,NA,NA,NA,NA,NA,NA
"40",50,"Landline",140123,140123,1,"No","English","Midwest","Missouri","Lowest","R  ","Midwest","Missouri","Lowest","R  ",NA,"Youngest Female","Youngest Female",1,NA,"Very happy",NA,NA,NA,NA,NA,NA,"Rural area","A community where houses are larger/farther apart, but schools/stores are several miles away","Not too important","Not too important","Not too important","Not too important","Not too important","Important","Important","Mostly favorable","Mostly unfavorable",NA,NA,NA,NA,NA,NA,NA,NA
"41",51,"Landline",140123,140123,1,"No","English","Midwest","Wisconsin","Lowest","R  ","Midwest","Wisconsin","Lowest","R  ",NA,"Youngest Female","Youngest Female",1,NA,"Very happy",NA,NA,NA,NA,NA,NA,"Small town","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Not too important","Important","Important","Not too important","Not too important","Important","Important","Mostly unfavorable","Very favorable",NA,NA,NA,NA,NA,NA,NA,NA
"42",53,"Landline",140123,140123,1,"No","English","South","Alabama","Lowest","R  ","South","Alabama","Lowest","R  ",NA,"Youngest Male","Youngest Male",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"Small town","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Important","Important","Not too important","Important","Important","Not too important","Important","Mostly favorable","Mostly unfavorable",NA,NA,NA,NA,NA,NA,NA,NA
"43",55,"Landline",140123,140123,1,"No","English","Midwest","Missouri","4","S  ","Midwest","Missouri","4","S  ",NA,"Youngest Male","Youngest Male",1,NA,"Not too happy",NA,NA,NA,NA,NA,NA,"Small town","A community where houses are larger/farther apart, but schools/stores are several miles away","Important","Not too important","Not too important","Not too important","Not too important","Not too important","Not too important","Mostly unfavorable","Mostly favorable",NA,NA,NA,NA,NA,NA,NA,NA
"44",56,"Landline",140123,140123,2,"No","English","Midwest","Minnesota","3","S  ","Midwest","Minnesota","3","S  ",NA,"Youngest Male","Youngest Male",1,NA,"Not too happy",NA,NA,NA,NA,NA,NA,"Suburban area","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Not too important","Important","Not too important","Not too important","Not too important","Important","Important","Mostly unfavorable","Mostly favorable",NA,NA,NA,NA,NA,NA,NA,NA
"45",57,"Landline",140123,140123,1,"No","English","West","California","4","U  ","West","California","4","U  ",NA,"Youngest Female","Youngest Female",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"Suburban area","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Important","Not too important","Not too important","Important","Not too important","Important","Important","Mostly unfavorable","Mostly unfavorable",NA,NA,NA,NA,NA,NA,NA,NA
"46",58,"Landline",140123,140123,1,"No","English","West","Arizona","Lowest","R  ","West","Arizona","Lowest","R  ",NA,"Youngest Male","Youngest Male",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"Small town","A community where houses are larger/farther apart, but schools/stores are several miles away","Not too important","Important","Not too important","Not too important","Not too important","Important","Important","Mostly unfavorable","Mostly unfavorable",NA,NA,NA,NA,NA,NA,NA,NA
"47",59,"Landline",140123,140123,2,"No","English","Midwest","Illinois","Highest","U  ","Midwest","Illinois","Highest","U  ",NA,"Youngest Male","Youngest Male",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"City","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Important","Important","Important","Not too important","Important","Not too important","Important","Very unfavorable","Mostly favorable",NA,NA,NA,NA,NA,NA,NA,NA
"48",60,"Landline",140126,140123,6,"No","English","Midwest","Minnesota","3","S  ","Midwest","Minnesota","3","S  ",NA,"Youngest Female","Youngest Female",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"Suburban area","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Important","Important","Important","Not too important","Important","Important","Important","Very unfavorable","Mostly favorable",NA,NA,NA,NA,NA,NA,NA,NA
"49",61,"Landline",140123,140123,1,"No","English","West","California","2","U  ","West","California","2","U  ",NA,"Youngest Female","Youngest Female",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"Suburban area","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Not too important","Important","Not too important","Not too important","Not too important","Important","Important","Mostly favorable","Mostly unfavorable",NA,NA,NA,NA,NA,NA,NA,NA
"50",62,"Landline",140123,140123,1,"No","English","West","California","Highest","S  ","West","California","Highest","S  ",NA,"Youngest Male","Youngest Male",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"Suburban area","A community where houses are larger/farther apart, but schools/stores are several miles away","Important","Important","Not too important","Not too important","Important","Important","Important","Mostly unfavorable","Mostly unfavorable",NA,NA,NA,NA,NA,NA,NA,NA
"51",63,"Landline",140123,140123,2,"No","English","South","Alabama","3","S  ","South","Alabama","3","S  ",NA,"Youngest Female","Youngest Female",1,NA,"Very happy",NA,NA,NA,NA,NA,NA,"City","A community where houses are larger/farther apart, but schools/stores are several miles away","Not too important","Important","Important","Important","Important","Important","Important","Mostly favorable","Mostly unfavorable",NA,NA,NA,NA,NA,NA,NA,NA
"52",64,"Landline",140123,140123,1,"No","English","West","California","4","U  ","West","California","2","U  ",NA,"Youngest Female","Youngest Female",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"City","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Not too important","Important","Not too important","Not too important","Not too important","Important","Important","Mostly unfavorable","Mostly unfavorable",NA,NA,NA,NA,NA,NA,NA,NA
"53",65,"Landline",140123,140123,1,"No","English","West","California","3","S  ","West","California","3","S  ",NA,"Youngest Female","Youngest Female",1,NA,"Not too happy",NA,NA,NA,NA,NA,NA,"Small town","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Not too important","Important","Not too important","Not too important","Important","Not too important","Important","Very unfavorable","Very unfavorable",NA,NA,NA,NA,NA,NA,NA,NA
"54",66,"Landline",140123,140123,1,"No","English","West","Utah","4","S  ","West","Utah","4","S  ",NA,"Youngest Male","Youngest Male",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"Suburban area","A community where houses are larger/farther apart, but schools/stores are several miles away","Not too important","Important","Not too important","Not too important","Important","Important","Important","Very favorable","Mostly unfavorable",NA,NA,NA,NA,NA,NA,NA,NA
"55",67,"Landline",140123,140123,1,"No","English","Midwest","Nebraska","Lowest","R  ","Midwest","Nebraska","Lowest","R  ",NA,"Youngest Male","Youngest Male",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"Rural area","A community where houses are larger/farther apart, but schools/stores are several miles away","Important","Not too important","Not too important","Important","Not too important","Important","Important","Mostly unfavorable","Mostly unfavorable",NA,NA,NA,NA,NA,NA,NA,NA
"56",69,"Landline",140123,140123,1,"No","English","West","California","Highest","S  ","West","California","Highest","S  ",NA,"Youngest Male","Youngest Male",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"Rural area","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Not too important","Important","Not too important","Not too important","Not too important","Important","Important","Very unfavorable","Very favorable",NA,NA,NA,NA,NA,NA,NA,NA
"57",71,"Landline",140123,140123,1,"No","English","West","California","Highest","S  ","West","California","Highest","S  ",NA,"Youngest Female","Youngest Female",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"Small town","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Not too important","Not too important","Not too important","Not too important","Not too important","Not too important","Important","Mostly favorable","Very unfavorable",NA,NA,NA,NA,NA,NA,NA,NA
"58",72,"Landline",140123,140123,1,"No","English","West","Washington","3","S  ","West","Washington","3","S  ",NA,"Youngest Male","Youngest Male",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"Suburban area","A community where houses are larger/farther apart, but schools/stores are several miles away","Not too important","Important","Important","Important","Important","Not too important","Important","Mostly favorable","Mostly unfavorable",NA,NA,NA,NA,NA,NA,NA,NA
"59",73,"Landline",140123,140123,1,"No","English","West","Washington","3","S  ","West","Washington","3","S  ",NA,"Youngest Male","Youngest Male",1,NA,"Very happy",NA,NA,NA,NA,NA,NA,"City","A community where houses are larger/farther apart, but schools/stores are several miles away","Important","Not too important","Important","Not too important","Important","Important","Important","Mostly favorable","Mostly favorable",NA,NA,NA,NA,NA,NA,NA,NA
"60",74,"Landline",140131,140123,5,"No","English","Midwest","Kansas","Lowest","R  ","Midwest","Kansas","Lowest","R  ",NA,"Youngest Female","Youngest Female",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"Rural area","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Important","Important","Not too important","Important","Not too important","Not too important","Important","Mostly favorable","Mostly unfavorable",NA,NA,NA,NA,NA,NA,NA,NA
"61",77,"Landline",140131,140123,4,"No","English","West","New Mexico","Lowest","S  ","West","New Mexico","Lowest","S  ",NA,"Youngest Male","Youngest Male",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"Small town","A community where houses are larger/farther apart, but schools/stores are several miles away","Not too important","Not too important","Not too important","Not too important","Not too important","Important","Not too important","Mostly unfavorable","Mostly favorable",NA,NA,NA,NA,NA,NA,NA,NA
"62",79,"Landline",140123,140123,1,"No","English","West","California","Highest","S  ","West","California","Highest","S  ",NA,"Youngest Female","Youngest Female",1,NA,"Very happy",NA,NA,NA,NA,NA,NA,"Small town","A community where houses are larger/farther apart, but schools/stores are several miles away","Not too important","Important","Not too important","Not too important","Not too important","Important","Important","(VOL) Refused","(VOL) Refused",NA,NA,NA,NA,NA,NA,NA,NA
"63",80,"Landline",140123,140123,1,"No","English","West","Colorado","3","U  ","West","Colorado","3","U  ",NA,"Youngest Female","Youngest Female",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"City","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Not too important","Important","Important","Not too important","Important","Important","Important","Mostly unfavorable","Mostly favorable",NA,NA,NA,NA,NA,NA,NA,NA
"64",81,"Landline",140123,140123,1,"No","English","West","California","Highest","U  ","West","California","Highest","U  ",NA,"Youngest Female","Youngest Female",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"City","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Not too important","Important","Important","Not too important","Important","Not too important","Important","Very unfavorable","Mostly favorable",NA,NA,NA,NA,NA,NA,NA,NA
"65",82,"Landline",140123,140123,2,"No","English","West","California","Highest","S  ","West","California","Highest","S  ",NA,"Youngest Female","Youngest Female",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"City","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Important","Important","Important","Not too important","Important","Not too important","Important","Mostly unfavorable","Very favorable",NA,NA,NA,NA,NA,NA,NA,NA
"66",84,"Landline",140123,140123,1,"No","English","West","Alaska","2","U  ","West","Alaska","2","U  ",NA,"Youngest Male","Youngest Male",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"Rural area","A community where houses are larger/farther apart, but schools/stores are several miles away","Not too important","Important","Not too important","Not too important","Not too important","Important","Important","Mostly favorable","Mostly unfavorable",NA,NA,NA,NA,NA,NA,NA,NA
